
mean_cpu,std_cpu,min_cpu,max_cpu,delta_cpu,cpu_trend,cpu_volatility,mean_memory,std_memory,memory_trend,mean_requests,request_spike_count,throughput_delta,cost_delta,unit_economics_ratio,incident_type
50,4,44,62,3,0.19,0.16,52,4,0.13,1208,0,51,7,1.35,Normal
61,6,49,80,10,0.9,0.49,79,6,1.11,1523,2,103,22,0.7,MemoryLeak
52,3,45,58,4,0.1,0.15,49,2,0.2,1241,0,44,7,1.32,Normal
54,4,45,63,5,0.2,0.2,49,3,0.07,1116,0,55,4,1.42,Normal
51,3,46,60,2,0.4,0.11,51,4,0.14,1258,0,56,7,1.39,Normal
72,11,51,89,21,1.45,0.98,59,4,0.59,2406,7,317,42,1.76,TrafficSpike
51,3,46,57,3,0.1,0.15,52,3,0.05,1173,0,54,4,1.44,Normal
61,7,48,83,11,0.86,0.48,70,6,1.04,1478,2,99,19,0.59,MemoryLeak
64,7,52,83,13,0.78,0.42,74,8,1.19,1464,1,87,21,0.69,MemoryLeak
55,4,46,56,3,0.24,0.17,49,2,0.2,1211,0,42,7,1.37,Normal
92,18,53,96,33,2.49,1.85,62,6,0.21,1522,3,121,40,0.42,BadDeploy
98,13,60,98,34,2.07,1.87,65,5,0.39,1694,2,118,38,0.51,BadDeploy
65,8,51,76,10,0.99,0.42,71,8,1.1,1541,1,102,24,0.52,MemoryLeak
53,3,46,58,5,0.38,0.13,49,3,0.18,1220,0,54,5,1.38,Normal
70,9,49,91,19,1.57,0.95,60,4,0.46,2452,7,352,40,1.68,TrafficSpike
73,10,51,92,19,1.55,1.09,55,6,0.48,2697,6,295,43,1.8,TrafficSpike
94,18,54,98,28,2.15,2.27,61,4,0.46,1612,2,138,44,0.4,BadDeploy
53,5,44,57,5,0.33,0.13,51,4,0.06,1184,0,50,7,1.47,Normal
54,3,44,66,4,0.4,0.17,51,2,0.16,1280,0,54,5,1.44,Normal
50,4,44,60,4,0.21,0.11,51,4,0.15,1146,0,45,4,1.42,Normal
89,16,54,96,35,2.77,1.81,56,5,0.47,1673,4,115,32,0.49,BadDeploy
91,18,58,100,32,2.55,1.67,62,5,0.23,1597,4,127,48,0.46,BadDeploy
58,8,51,79,10,0.83,0.44,79,6,1.55,1527,2,92,23,0.54,MemoryLeak
54,4,46,68,3,0.29,0.19,45,3,0.17,1108,0,44,4,1.48,Normal
95,14,55,96,40,2.65,2.27,64,6,0.47,1542,3,135,39,0.55,BadDeploy
85,16,53,96,40,3.16,2.17,62,6,0.31,1601,2,121,47,0.42,BadDeploy
90,17,58,100,33,2.13,1.61,56,6,0.47,1643,3,144,37,0.53,BadDeploy
72,11,51,86,18,1.22,0.81,57,4,0.42,2575,5,339,45,1.65,TrafficSpike
70,10,46,92,21,1.36,1.09,54,6,0.47,2527,6,320,43,1.54,TrafficSpike
93,13,58,97,31,3.16,2.25,63,4,0.4,1664,4,143,30,0.41,BadDeploy
89,14,55,95,40,2.67,1.93,59,5,0.43,1652,2,122,34,0.6,BadDeploy
60,6,48,77,10,0.74,0.46,77,7,1.01,1467,1,89,24,0.61,MemoryLeak
53,4,45,64,6,0.13,0.15,45,4,0.17,1268,0,54,4,1.31,Normal
74,10,46,92,22,1.56,0.82,54,5,0.52,2333,5,325,47,1.75,TrafficSpike
94,17,60,97,35,2.61,1.79,57,6,0.4,1696,4,118,43,0.49,BadDeploy
64,7,51,81,13,0.89,0.36,73,8,1.15,1439,2,87,19,0.67,MemoryLeak
53,3,46,67,4,0.34,0.16,50,4,0.07,1190,0,41,6,1.42,Normal
85,17,60,96,30,2.79,1.6,57,5,0.45,1594,2,122,48,0.45,BadDeploy
68,11,49,85,18,1.31,1.03,56,5,0.4,2373,7,341,39,1.56,TrafficSpike
50,5,46,59,5,0.23,0.13,50,3,0.16,1298,0,41,5,1.33,Normal
55,3,45,63,5,0.25,0.14,49,2,0.16,1129,0,53,4,1.36,Normal
72,9,48,91,21,1.22,0.86,55,4,0.55,2448,6,305,38,1.7,TrafficSpike
70,9,51,88,21,1.42,1.0,56,4,0.48,2679,5,345,38,1.68,TrafficSpike
52,5,45,65,5,0.31,0.14,46,3,0.05,1183,0,59,7,1.47,Normal
84,16,53,96,34,2.71,1.87,62,5,0.42,1556,3,115,32,0.5,BadDeploy
54,5,44,68,4,0.21,0.2,47,2,0.07,1165,0,45,5,1.45,Normal
51,5,45,63,6,0.33,0.14,50,4,0.1,1212,0,55,7,1.43,Normal
58,7,52,76,12,0.78,0.31,73,7,1.05,1423,2,99,18,0.59,MemoryLeak
52,5,45,64,3,0.39,0.15,50,4,0.06,1265,0,41,5,1.44,Normal
70,10,50,89,20,1.36,0.9,58,4,0.56,2631,6,298,43,1.54,TrafficSpike
91,15,54,97,29,2.7,1.53,61,5,0.49,1678,4,130,34,0.52,BadDeploy
52,5,45,66,4,0.34,0.17,46,4,0.15,1230,0,40,6,1.36,Normal
63,7,49,78,11,0.66,0.36,80,6,1.3,1538,1,95,20,0.62,MemoryLeak
51,3,46,68,6,0.34,0.12,52,2,0.11,1273,0,54,6,1.45,Normal
71,11,48,89,20,1.56,0.86,59,6,0.6,2536,6,338,46,1.71,TrafficSpike
51,5,44,60,2,0.29,0.19,46,4,0.18,1131,0,42,5,1.35,Normal
53,3,44,63,4,0.38,0.14,51,4,0.11,1198,0,51,5,1.31,Normal
55,5,45,68,3,0.14,0.13,52,4,0.17,1294,0,54,4,1.48,Normal
52,3,44,64,6,0.26,0.11,49,2,0.1,1112,0,53,7,1.31,Normal
68,11,48,87,19,1.37,0.98,55,6,0.48,2640,7,300,46,1.89,TrafficSpike
54,5,46,68,6,0.27,0.14,52,2,0.15,1195,0,40,6,1.46,Normal
89,18,53,99,39,2.91,1.52,61,6,0.3,1664,2,134,52,0.5,BadDeploy
51,3,46,68,5,0.11,0.12,48,2,0.1,1179,0,57,7,1.35,Normal
52,4,44,66,4,0.18,0.18,51,3,0.16,1198,0,45,7,1.44,Normal
98,15,53,100,34,2.09,1.94,58,6,0.29,1526,2,125,51,0.46,BadDeploy
74,9,52,90,20,1.22,1.06,56,6,0.6,2440,7,297,39,1.77,TrafficSpike
93,17,54,95,30,3.02,2.01,63,4,0.24,1560,4,128,41,0.48,BadDeploy
54,3,46,63,4,0.21,0.18,47,4,0.11,1180,0,47,4,1.31,Normal
53,5,45,64,2,0.18,0.13,52,2,0.2,1173,0,46,4,1.33,Normal
53,3,46,63,2,0.34,0.2,50,4,0.1,1116,0,49,5,1.44,Normal
52,5,44,57,3,0.34,0.12,52,2,0.1,1246,0,54,5,1.42,Normal
50,4,45,67,5,0.26,0.18,46,2,0.2,1264,0,54,7,1.44,Normal
86,17,54,96,34,2.6,2.18,57,6,0.25,1542,2,125,52,0.45,BadDeploy
59,7,49,85,14,0.71,0.43,77,8,1.06,1443,1,90,23,0.67,MemoryLeak
50,3,44,66,6,0.18,0.12,51,4,0.15,1227,0,60,6,1.4,Normal
91,16,53,100,28,2.19,1.77,63,4,0.3,1536,3,125,41,0.6,BadDeploy
52,5,46,57,4,0.17,0.11,52,2,0.07,1112,0,52,7,1.35,Normal
52,5,46,61,3,0.33,0.15,52,3,0.18,1227,0,42,7,1.4,Normal
61,8,50,75,10,0.71,0.42,78,8,1.28,1537,1,88,24,0.53,MemoryLeak
63,7,50,75,13,0.62,0.41,73,8,1.17,1498,2,102,22,0.67,MemoryLeak
51,3,45,61,4,0.27,0.14,47,2,0.14,1202,0,41,4,1.33,Normal
97,17,59,96,37,3.07,1.53,65,5,0.25,1657,4,124,48,0.47,BadDeploy
75,11,49,92,17,1.35,1.0,57,6,0.46,2671,7,293,47,1.69,TrafficSpike
58,8,51,77,14,0.85,0.42,74,6,1.49,1462,1,103,19,0.54,MemoryLeak
73,10,47,91,22,1.28,0.95,58,5,0.57,2676,7,297,40,1.71,TrafficSpike
97,17,58,97,30,2.55,1.88,64,5,0.4,1684,4,121,49,0.5,BadDeploy
62,8,50,78,12,0.91,0.44,79,8,1.29,1522,2,102,22,0.56,MemoryLeak
94,15,54,97,28,2.35,2.04,61,5,0.4,1691,3,118,36,0.57,BadDeploy
62,6,48,84,15,0.83,0.35,78,8,1.14,1459,1,88,24,0.57,MemoryLeak
69,11,47,85,21,1.59,0.85,59,5,0.5,2402,6,331,42,1.76,TrafficSpike
55,5,44,64,2,0.37,0.12,47,2,0.2,1201,0,45,6,1.48,Normal
52,5,46,57,4,0.19,0.2,52,2,0.18,1219,0,46,4,1.37,Normal
72,11,47,85,22,1.33,0.89,59,4,0.44,2627,6,344,46,1.63,TrafficSpike
85,14,54,98,33,3.12,1.41,62,4,0.33,1568,3,124,48,0.54,BadDeploy
52,5,45,67,3,0.12,0.11,49,2,0.11,1228,0,43,6,1.37,Normal
61,6,51,77,13,0.9,0.42,74,8,1.33,1520,1,92,19,0.61,MemoryLeak
84,17,53,95,36,3.08,1.58,64,4,0.25,1633,3,112,51,0.44,BadDeploy
69,11,52,85,20,1.25,0.92,58,4,0.51,2644,6,292,44,1.6,TrafficSpike
55,3,46,57,2,0.23,0.17,45,2,0.2,1220,0,49,7,1.34,Normal
55,5,46,62,4,0.4,0.14,51,3,0.06,1269,0,60,6,1.32,Normal
98,14,55,95,40,2.03,1.67,64,5,0.36,1558,2,134,41,0.43,BadDeploy
55,3,44,68,5,0.28,0.19,45,2,0.08,1125,0,54,4,1.35,Normal
53,4,44,64,3,0.33,0.18,47,4,0.2,1159,0,58,6,1.35,Normal
55,5,44,62,4,0.18,0.16,47,4,0.15,1242,0,41,6,1.49,Normal
98,15,58,98,30,2.36,1.57,64,5,0.27,1557,3,114,44,0.58,BadDeploy
95,17,60,96,34,2.29,1.58,57,5,0.45,1523,4,117,31,0.45,BadDeploy
50,3,46,67,6,0.17,0.12,50,3,0.19,1103,0,46,4,1.45,Normal
71,11,48,91,18,1.42,1.03,57,5,0.51,2483,6,323,43,1.71,TrafficSpike
75,9,52,90,18,1.35,0.92,58,4,0.55,2308,6,360,47,1.73,TrafficSpike
72,9,48,90,18,1.35,1.05,57,6,0.53,2650,6,322,45,1.89,TrafficSpike
75,9,50,87,18,1.49,0.95,58,6,0.59,2568,5,299,48,1.52,TrafficSpike
53,3,46,59,2,0.31,0.1,52,3,0.06,1263,0,55,4,1.3,Normal
82,13,60,100,32,2.64,1.66,64,6,0.4,1545,2,111,46,0.43,BadDeploy
54,5,45,61,4,0.34,0.11,51,3,0.13,1278,0,49,4,1.43,Normal
50,4,45,62,6,0.24,0.16,47,2,0.12,1211,0,58,4,1.48,Normal
51,3,46,65,5,0.18,0.19,49,4,0.13,1108,0,50,4,1.49,Normal
55,4,44,60,3,0.27,0.16,51,4,0.18,1184,0,44,4,1.4,Normal
83,13,58,96,29,2.41,2.09,65,5,0.49,1583,2,145,38,0.56,BadDeploy
75,9,50,91,20,1.27,0.98,57,4,0.55,2451,5,299,39,1.61,TrafficSpike
86,18,58,97,33,2.13,1.4,60,5,0.31,1569,2,113,32,0.44,BadDeploy
74,9,45,86,19,1.42,0.98,60,5,0.57,2306,6,342,44,1.81,TrafficSpike
60,8,51,77,11,0.71,0.35,70,6,1.1,1470,2,94,25,0.66,MemoryLeak
90,14,59,99,37,2.23,1.5,60,4,0.48,1585,4,129,40,0.49,BadDeploy
70,10,50,88,20,1.33,1.09,56,5,0.55,2624,6,321,43,1.65,TrafficSpike
93,13,55,99,36,2.22,2.09,56,6,0.34,1681,2,133,39,0.57,BadDeploy
53,5,45,58,4,0.17,0.17,51,3,0.06,1253,0,58,7,1.41,Normal
68,10,46,86,18,1.46,0.91,59,6,0.41,2630,7,341,43,1.89,TrafficSpike
69,9,46,89,18,1.4,0.96,58,6,0.52,2528,6,340,45,1.81,TrafficSpike
70,10,45,92,17,1.32,1.08,54,4,0.57,2673,5,334,42,1.64,TrafficSpike
65,7,51,76,13,0.89,0.39,69,7,1.03,1429,1,95,19,0.64,MemoryLeak
55,3,46,58,6,0.15,0.16,52,2,0.17,1261,0,45,7,1.38,Normal
65,8,51,81,10,0.88,0.34,80,8,1.49,1416,1,102,20,0.57,MemoryLeak
65,6,50,85,13,0.81,0.43,77,7,1.37,1550,1,96,23,0.67,MemoryLeak
55,5,45,65,6,0.13,0.11,46,2,0.1,1146,0,44,7,1.38,Normal
54,4,45,58,5,0.29,0.17,47,4,0.08,1173,0,45,6,1.47,Normal
52,3,45,58,3,0.34,0.2,52,3,0.15,1206,0,55,5,1.32,Normal
51,4,44,60,3,0.26,0.12,52,4,0.16,1296,0,57,4,1.41,Normal
63,8,48,82,14,0.69,0.39,79,8,1.45,1476,1,99,22,0.57,MemoryLeak
53,3,44,59,6,0.31,0.19,51,2,0.14,1300,0,46,4,1.41,Normal
60,7,50,79,14,0.71,0.47,78,6,1.08,1505,1,93,20,0.64,MemoryLeak
51,3,46,61,3,0.33,0.17,52,2,0.14,1168,0,52,7,1.32,Normal
53,5,46,60,4,0.24,0.15,45,4,0.06,1217,0,42,7,1.34,Normal
71,10,49,90,19,1.34,0.97,58,5,0.56,2649,5,295,39,1.75,TrafficSpike
68,9,47,92,20,1.2,1.09,55,6,0.58,2632,6,310,42,1.54,TrafficSpike
90,13,57,100,38,2.2,1.76,60,6,0.41,1559,3,110,52,0.42,BadDeploy
65,6,49,84,11,0.81,0.39,68,8,1.21,1430,2,89,25,0.51,MemoryLeak
84,18,53,95,33,2.44,1.67,62,4,0.39,1673,2,109,46,0.51,BadDeploy
53,4,46,59,3,0.38,0.16,52,2,0.06,1125,0,43,7,1.37,Normal
73,9,48,89,22,1.23,0.97,58,6,0.52,2698,7,293,48,1.85,TrafficSpike
61,8,51,79,15,0.62,0.48,71,7,1.23,1461,2,105,19,0.61,MemoryLeak
52,4,44,62,6,0.23,0.15,47,3,0.19,1297,0,40,4,1.3,Normal
58,6,51,83,12,0.85,0.4,74,7,1.42,1421,1,93,19,0.56,MemoryLeak
71,9,50,91,21,1.45,1.05,59,6,0.41,2657,6,320,38,1.6,TrafficSpike
69,10,45,89,22,1.5,1.02,54,4,0.54,2659,5,310,45,1.88,TrafficSpike
60,7,49,79,15,0.95,0.45,68,7,1.48,1469,1,93,19,0.6,MemoryLeak
73,9,52,87,19,1.26,1.03,58,6,0.54,2416,7,355,38,1.52,TrafficSpike
51,3,45,61,5,0.38,0.12,45,4,0.17,1282,0,47,6,1.35,Normal
90,13,57,95,36,2.81,1.45,59,6,0.49,1602,2,134,39,0.55,BadDeploy
63,6,52,82,10,0.75,0.36,80,7,1.44,1462,2,96,25,0.7,MemoryLeak
61,6,48,81,10,0.69,0.37,79,6,1.57,1400,2,94,19,0.54,MemoryLeak
64,7,48,77,15,0.71,0.31,71,8,1.25,1495,2,87,19,0.6,MemoryLeak
84,17,52,98,38,3.16,1.61,60,5,0.48,1600,4,125,40,0.49,BadDeploy
59,6,49,84,10,0.66,0.33,75,7,1.24,1537,2,91,25,0.56,MemoryLeak
59,6,49,85,12,0.93,0.44,68,6,1.5,1483,1,87,21,0.69,MemoryLeak
98,13,56,97,30,2.04,1.76,63,6,0.42,1563,2,134,33,0.56,BadDeploy
50,3,44,68,3,0.14,0.18,50,4,0.14,1265,0,58,6,1.48,Normal
50,3,44,66,5,0.34,0.11,50,2,0.06,1218,0,45,7,1.46,Normal
97,13,58,100,34,2.21,1.59,58,5,0.28,1538,2,144,49,0.52,BadDeploy
65,7,52,82,10,0.64,0.38,74,6,1.39,1534,1,105,18,0.7,MemoryLeak
97,17,59,97,37,2.6,1.75,58,4,0.3,1556,2,122,31,0.56,BadDeploy
73,11,48,87,17,1.3,0.87,58,6,0.41,2412,7,339,43,1.87,TrafficSpike
51,3,46,61,4,0.37,0.1,50,4,0.13,1244,0,55,6,1.34,Normal
50,3,44,65,3,0.11,0.15,50,4,0.08,1133,0,45,6,1.31,Normal
54,5,44,68,2,0.35,0.19,46,3,0.16,1269,0,58,4,1.37,Normal
86,14,58,100,35,2.78,1.56,64,6,0.47,1657,3,119,51,0.52,BadDeploy
53,4,46,67,4,0.14,0.17,51,4,0.05,1254,0,59,5,1.43,Normal
53,3,45,67,2,0.17,0.2,47,4,0.18,1122,0,54,4,1.35,Normal
59,7,50,76,15,0.6,0.38,79,7,1.58,1505,2,97,23,0.61,MemoryLeak
53,5,46,68,3,0.15,0.11,45,3,0.05,1166,0,42,6,1.33,Normal
87,18,53,99,29,2.41,2.29,63,6,0.21,1667,2,143,43,0.43,BadDeploy
52,3,44,62,6,0.32,0.17,49,4,0.09,1160,0,41,7,1.41,Normal
70,9,50,85,20,1.24,1.05,59,6,0.5,2349,5,316,40,1.76,TrafficSpike
53,3,45,68,5,0.24,0.19,49,2,0.15,1199,0,51,7,1.37,Normal
68,10,52,92,19,1.29,0.88,54,4,0.55,2641,5,300,48,1.64,TrafficSpike
89,17,52,98,36,2.5,1.88,63,6,0.46,1621,3,110,42,0.58,BadDeploy
54,5,46,68,6,0.3,0.16,46,3,0.08,1142,0,46,5,1.31,Normal
55,4,44,66,3,0.35,0.13,46,2,0.11,1201,0,48,7,1.48,Normal
55,5,46,64,5,0.13,0.11,46,2,0.13,1125,0,57,6,1.48,Normal
64,8,51,84,14,0.79,0.33,74,6,1.37,1502,1,97,23,0.64,MemoryLeak
55,4,45,61,2,0.2,0.18,49,3,0.18,1278,0,47,5,1.36,Normal
73,10,51,86,18,1.38,1.07,57,6,0.5,2564,6,297,46,1.82,TrafficSpike
52,5,46,62,3,0.33,0.15,45,2,0.08,1151,0,47,4,1.39,Normal
88,15,57,98,36,2.48,2.23,56,4,0.31,1652,3,116,45,0.52,BadDeploy
93,14,56,100,39,2.11,1.42,56,4,0.46,1699,2,119,50,0.45,BadDeploy
62,8,51,83,10,0.95,0.49,78,6,1.28,1433,1,104,18,0.54,MemoryLeak
62,7,51,80,13,0.7,0.39,78,8,1.49,1501,1,85,23,0.61,MemoryLeak
62,8,48,82,10,0.73,0.36,73,7,1.16,1476,1,89,21,0.68,MemoryLeak
92,18,54,100,28,2.79,2.3,60,5,0.32,1688,2,142,52,0.6,BadDeploy
52,5,46,59,6,0.29,0.15,50,4,0.1,1143,0,49,4,1.39,Normal
60,8,50,85,10,0.69,0.34,72,7,1.47,1484,2,93,22,0.59,MemoryLeak
53,3,46,65,6,0.38,0.11,48,4,0.07,1274,0,56,6,1.38,Normal
51,3,45,62,6,0.37,0.2,47,3,0.18,1146,0,55,6,1.43,Normal
52,5,44,56,5,0.18,0.18,47,4,0.16,1225,0,44,7,1.43,Normal
95,16,58,95,28,2.64,2.06,56,5,0.43,1635,2,106,51,0.4,BadDeploy
61,8,50,79,11,0.64,0.4,72,6,1.04,1411,2,94,25,0.65,MemoryLeak
95,18,54,97,35,2.43,1.57,62,4,0.27,1686,2,118,30,0.52,BadDeploy
50,4,46,66,2,0.21,0.16,45,4,0.2,1269,0,60,4,1.31,Normal
53,4,45,57,6,0.18,0.17,48,4,0.15,1102,0,53,4,1.43,Normal
60,7,48,83,15,0.85,0.36,80,6,1.3,1451,2,101,21,0.57,MemoryLeak
91,14,52,99,35,3.09,2.02,63,5,0.27,1503,4,110,33,0.57,BadDeploy
70,9,46,86,19,1.46,0.94,56,5,0.49,2351,5,295,42,1.64,TrafficSpike
64,8,48,76,10,0.6,0.33,78,6,1.2,1512,2,87,23,0.66,MemoryLeak
50,4,45,63,4,0.35,0.17,52,3,0.15,1142,0,44,4,1.5,Normal
50,4,46,63,6,0.3,0.12,51,3,0.14,1275,0,55,7,1.32,Normal
96,13,53,97,38,2.38,2.03,64,6,0.37,1644,2,126,46,0.5,BadDeploy
53,5,46,59,5,0.2,0.17,51,2,0.18,1242,0,40,5,1.4,Normal
75,9,46,92,19,1.3,1.09,54,6,0.44,2629,6,341,41,1.53,TrafficSpike
75,9,52,92,19,1.25,0.95,59,4,0.42,2511,5,360,38,1.83,TrafficSpike
61,8,51,80,12,0.93,0.46,75,7,1.34,1521,2,99,19,0.52,MemoryLeak
58,7,50,85,12,0.82,0.37,69,6,1.54,1526,1,98,19,0.55,MemoryLeak
61,6,51,78,13,0.93,0.34,73,6,1.45,1411,1,99,25,0.63,MemoryLeak
70,10,45,85,21,1.57,1.05,57,6,0.56,2390,7,312,40,1.54,TrafficSpike
98,16,58,99,39,2.91,1.65,61,5,0.34,1534,2,131,49,0.54,BadDeploy
72,11,50,88,18,1.28,1.01,59,5,0.58,2367,7,312,46,1.72,TrafficSpike
85,15,60,98,37,2.68,2.0,62,6,0.42,1636,3,132,30,0.5,BadDeploy
53,3,44,66,2,0.16,0.18,47,3,0.15,1137,0,49,5,1.45,Normal
52,4,44,65,6,0.36,0.17,51,2,0.13,1278,0,41,7,1.38,Normal
58,6,50,78,14,0.95,0.47,75,6,1.55,1494,1,91,22,0.59,MemoryLeak
51,3,46,64,2,0.21,0.14,49,2,0.07,1165,0,50,7,1.44,Normal
50,3,45,65,2,0.33,0.16,49,3,0.17,1240,0,42,6,1.41,Normal
54,3,46,58,5,0.26,0.14,50,2,0.18,1269,0,50,6,1.36,Normal
68,9,50,92,18,1.56,0.98,58,4,0.59,2649,6,338,39,1.65,TrafficSpike
58,8,50,83,14,0.78,0.31,78,6,1.19,1421,1,90,18,0.63,MemoryLeak
61,8,51,76,11,0.82,0.44,79,7,1.39,1418,1,85,25,0.64,MemoryLeak
50,3,44,58,4,0.27,0.16,48,3,0.11,1215,0,53,6,1.3,Normal
54,3,46,67,6,0.12,0.17,45,4,0.18,1191,0,49,6,1.42,Normal
65,7,51,85,10,0.79,0.41,70,8,1.23,1539,2,105,20,0.56,MemoryLeak
82,17,60,96,29,2.05,1.92,62,6,0.36,1521,3,118,41,0.44,BadDeploy
70,9,47,88,21,1.53,0.86,55,6,0.56,2327,7,349,48,1.72,TrafficSpike
59,7,48,78,15,0.83,0.49,73,6,1.4,1460,1,94,19,0.68,MemoryLeak
97,16,57,99,38,2.37,1.93,65,6,0.31,1580,3,115,30,0.46,BadDeploy
64,7,50,77,15,0.89,0.48,75,7,1.22,1478,2,102,19,0.54,MemoryLeak
52,3,46,59,4,0.32,0.16,46,2,0.18,1261,0,58,7,1.45,Normal
58,8,50,83,14,0.79,0.46,73,7,1.13,1550,2,89,25,0.6,MemoryLeak
53,4,46,56,3,0.35,0.18,47,4,0.07,1140,0,58,5,1.45,Normal
73,9,48,92,18,1.23,0.91,54,6,0.44,2484,6,350,45,1.85,TrafficSpike
55,4,44,67,6,0.29,0.13,49,4,0.13,1144,0,60,7,1.37,Normal
54,4,45,59,6,0.22,0.18,50,3,0.17,1254,0,56,5,1.39,Normal
59,8,50,78,11,0.67,0.37,79,6,1.4,1506,2,88,25,0.64,MemoryLeak
71,11,47,91,17,1.3,0.84,58,4,0.43,2562,5,308,38,1.57,TrafficSpike
54,4,46,65,2,0.36,0.17,49,2,0.08,1255,0,55,5,1.34,Normal
86,17,54,99,38,2.61,1.55,61,5,0.38,1517,2,129,42,0.43,BadDeploy
51,5,46,66,5,0.35,0.16,47,3,0.19,1253,0,57,4,1.32,Normal
54,5,44,68,5,0.26,0.14,45,4,0.13,1158,0,52,6,1.42,Normal
53,3,45,63,3,0.37,0.11,51,3,0.08,1281,0,58,4,1.4,Normal
88,18,57,98,33,2.13,1.78,65,5,0.28,1637,3,141,41,0.52,BadDeploy
88,16,60,99,35,2.21,1.9,63,5,0.5,1647,3,130,34,0.57,BadDeploy
55,3,45,68,3,0.13,0.15,50,4,0.14,1275,0,45,7,1.49,Normal
50,3,45,65,5,0.13,0.13,50,2,0.14,1285,0,52,6,1.44,Normal
51,5,45,63,2,0.16,0.17,49,2,0.06,1253,0,59,5,1.43,Normal
89,18,52,96,29,3.2,2.1,61,6,0.32,1650,2,138,30,0.55,BadDeploy
